,time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,weather_code,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant
0,2012-07-01,34.8,20.1,1.7,1.7,0.0,1.0,61,17.0,37.1,268
1,2012-07-02,31.0,19.7,0.0,0.0,0.0,0.0,2,14.0,26.3,321
2,2012-07-03,31.9,18.6,0.0,0.0,0.0,0.0,3,12.1,25.6,269
3,2012-07-04,33.7,20.5,3.9,3.9,0.0,4.0,61,10.9,26.3,251
4,2012-07-05,34.9,24.3,0.0,0.0,0.0,0.0,3,14.4,24.1,321
5,2012-07-06,34.0,19.6,0.0,0.0,0.0,0.0,3,12.2,32.4,154
6,2012-07-07,37.8,24.1,1.6,1.6,0.0,3.0,55,20.1,32.8,283
7,2012-07-08,32.9,22.8,0.0,0.0,0.0,0.0,3,12.6,27.0,87
8,2012-07-09,30.6,22.0,0.0,0.0,0.0,0.0,3,14.2,35.3,36
9,2012-07-10,30.3,19.7,0.0,0.0,0.0,0.0,3,15.6,32.0,107
10,2012-07-11,28.3,20.2,0.0,0.0,0.0,0.0,3,14.5,28.1,141
11,2012-07-12,31.0,19.3,0.0,0.0,0.0,0.0,3,17.4,33.8,175
12,2012-07-13,31.3,20.9,0.0,0.0,0.0,0.0,3,11.0,23.4,197
13,2012-07-14,30.9,23.3,0.0,0.0,0.0,0.0,3,14.6,28.1,250
14,2012-07-15,31.1,22.0,5.7,5.7,0.0,3.0,63,13.4,28.4,226
15,2012-07-16,32.8,21.9,0.5,0.5,0.0,2.0,51,13.5,25.2,283
16,2012-07-17,35.7,21.2,0.0,0.0,0.0,0.0,3,17.5,36.7,244
17,2012-07-18,37.8,26.4,1.8,1.8,0.0,3.0,61,16.2,36.0,241
18,2012-07-19,26.6,22.5,2.5,2.5,0.0,8.0,53,15.7,30.6,62
19,2012-07-20,22.5,17.8,38.7,38.7,0.0,21.0,63,19.9,40.0,63
20,2012-07-21,23.6,17.7,0.0,0.0,0.0,0.0,3,11.6,26.6,67
